Data;Quantidade
01/03/2022;5
01/04/2022;27
01/05/2022;1663
01/06/2022;4024
01/07/2022;9568
01/08/2022;6914
01/09/2022;8189
01/10/2022;9054
01/11/2022;4723
01/12/2022;3301
01/01/2023;2215
01/02/2023;2331
01/03/2023;2140
01/04/2023;2277
01/05/2023;2812
01/06/2023;2375
01/07/2023;2883
01/08/2023;5568
01/09/2023;4849
01/10/2023;2936
01/11/2023;3167
01/12/2023;1926
01/01/2024;1928
01/02/2024;1868
01/03/2024;2023
01/04/2024;2032
01/05/2024;2077
01/06/2024;2067
01/07/2024;2475
01/08/2024;2294
01/09/2024;2311
01/10/2024;2056
